index,project name,street name,tenure,no. of units,price,nett price,areasq,type of area,floor level,unit price psf,date of sale,market segment_CCR,market segment_OCR,market segment_RCR,postal district_2.0,postal district_3.0,postal district_4.0,postal district_5.0,postal district_8.0,postal district_9.0,postal district_10.0,postal district_11.0,postal district_12.0,postal district_13.0,postal district_14.0,postal district_15.0,postal district_16.0,postal district_17.0,postal district_18.0,postal district_19.0,postal district_20.0,postal district_21.0,postal district_22.0,postal district_23.0,postal district_25.0,postal district_26.0,postal district_27.0,postal district_28.0,type_Detached,type_Semi-detached,type_Terrace,type of sale_New Sale,type of sale_Resale,type of sale_Sub Sale
0,LANDED HOUSING DEVELOPMENT,PEARL ISLAND,86,1.0,11288000.0,-,7011.0,Land,-,1610.0,Jul-2017,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,LANDED HOUSING DEVELOPMENT,SUNSET PLACE,999,1.0,11237500.0,-,7749.0,Land,-,1450.0,Mar-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
2,LANDED HOUSING DEVELOPMENT,GROVE DRIVE,999,1.0,11200000.0,-,4170.0,Land,-,2686.0,Jul-2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
3,PARADISE ISLAND,PARADISE ISLAND,83,1.0,11200000.0,-,8633.0,Land,-,1297.0,Apr-2018,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
4,LANDED HOUSING DEVELOPMENT,BRANKSOME ROAD,999,1.0,11200000.0,-,7129.0,Land,-,1571.0,Aug-2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
5,LANDED HOUSING DEVELOPMENT,CORONATION ROAD WEST,999,1.0,11200000.0,-,11472.0,Land,-,976.0,Jan-2017,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
6,LANDED HOUSING DEVELOPMENT,SIXTH AVENUE,999,1.0,11200000.0,-,4478.0,Land,-,2501.0,May-2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
7,LANDED HOUSING DEVELOPMENT,JALAN ARNAP,999,1.0,11200000.0,-,6212.0,Land,-,1803.0,May-2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
8,LANDED HOUSING DEVELOPMENT,GOODMAN ROAD,999,1.0,11200000.0,-,7027.0,Land,-,1594.0,Jun-2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
9,LAUW & SONS GARDEN,CLOVER CRESCENT,999,1.0,11188888.0,-,10034.0,Land,-,1115.0,Apr-2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
10,CORONATION VILLE,CORONATION ROAD,853,1.0,11100000.0,-,4923.0,Land,-,2255.0,Mar-2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
11,LANDED HOUSING DEVELOPMENT,DUNSFOLD DRIVE,999,1.0,11100000.0,-,13994.0,Land,-,793.0,Feb-2017,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
12,LANDED HOUSING DEVELOPMENT,JALAN SEJARAH,999,1.0,11088800.0,-,6412.0,Land,-,1729.0,Aug-2017,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
13,LANDED HOUSING DEVELOPMENT,GARLICK AVENUE,999,1.0,11080000.0,-,8062.0,Land,-,1374.0,Nov-2020,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
14,LANDED HOUSING DEVELOPMENT,POOLE ROAD,999,1.0,11050000.0,-,10571.0,Land,-,1045.0,Dec-2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
15,LANDED HOUSING DEVELOPMENT,LORONG J TELOK KURAU,999,1.0,11000000.0,-,10832.0,Land,-,1016.0,Jul-2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
16,LANDED HOUSING DEVELOPMENT,HARLYN ROAD,999,1.0,11000000.0,-,5382.0,Land,-,2044.0,Mar-2021,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
17,LANDED HOUSING DEVELOPMENT,GENTLE ROAD,999,1.0,11000000.0,-,7490.0,Land,-,1469.0,Jun-2017,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
18,LANDED HOUSING DEVELOPMENT,NAMLY HILL,999,1.0,11000000.0,-,7530.0,Land,-,1461.0,Dec-2016,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
19,LANDED HOUSING DEVELOPMENT,BARKER ROAD,999,1.0,11000000.0,-,7922.0,Land,-,1388.0,May-2017,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
20,LANDED HOUSING DEVELOPMENT,MARGOLIOUTH ROAD,999,1.0,11000000.0,-,6016.0,Land,-,1828.0,Nov-2018,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
21,CORAL ISLAND,CORAL ISLAND,83,1.0,11000000.0,-,9325.0,Land,-,1180.0,Mar-2017,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
22,LANDED HOUSING DEVELOPMENT,SUNDRIDGE PARK ROAD,999,1.0,11000000.0,-,10826.0,Land,-,1016.0,Sep-2017,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
23,EDEN PARK,CYPRESS AVENUE,999,1.0,11000000.0,-,6293.0,Land,-,1748.0,Feb-2018,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
24,LANDED HOUSING DEVELOPMENT,GUILLEMARD LANE,999,1.0,11000000.0,-,5773.0,Land,-,1906.0,Sep-2017,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
25,LANDED HOUSING DEVELOPMENT,VANDA CRESCENT,999,1.0,11000000.0,-,9120.0,Land,-,1206.0,Feb-2019,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
26,FRANKEL ESTATE,DUNBAR WALK,999,1.0,11000000.0,-,8407.0,Land,-,1308.0,Jan-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
27,LANDED HOUSING DEVELOPMENT,BUKIT TIMAH ROAD,999,1.0,11000000.0,-,6778.0,Land,-,1623.0,Sep-2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
28,LANDED HOUSING DEVELOPMENT,BROADRICK ROAD,999,1.0,10920000.0,-,5895.0,Land,-,1852.0,Jan-2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
29,LANDED HOUSING DEVELOPMENT,SOMMERVILLE WALK,999,1.0,10900000.0,-,12034.0,Land,-,906.0,Jun-2018,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
30,LANDED HOUSING DEVELOPMENT,NAMLY GROVE,999,1.0,10900000.0,-,7737.0,Land,-,1409.0,Aug-2017,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
31,LANDED HOUSING DEVELOPMENT,CORONATION ROAD WEST,853,1.0,10900000.0,-,6081.0,Land,-,1793.0,Mar-2020,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
32,LANDED HOUSING DEVELOPMENT,CHESTNUT CRESCENT,999,1.0,10888000.0,-,12012.0,Land,-,906.0,Jan-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
33,LANDED HOUSING DEVELOPMENT,HOLLAND GROVE VIEW,999,1.0,10880000.0,-,6795.0,Land,-,1601.0,May-2017,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
34,LANDED HOUSING DEVELOPMENT,HOLLAND GROVE DRIVE,999,1.0,10880000.0,-,6656.0,Land,-,1635.0,Feb-2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
35,LANDED HOUSING DEVELOPMENT,ST. HELIER'S AVENUE,999,1.0,10875000.0,-,10874.0,Land,-,1000.0,Nov-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
36,LANDED HOUSING DEVELOPMENT,CORONATION WALK,999,1.0,10830000.0,-,5857.0,Land,-,1849.0,Aug-2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
37,SELETAR HILLS ESTATE,NERAM CRESCENT,857,1.0,10808000.0,-,9487.0,Land,-,1139.0,Jan-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
38,LANDED HOUSING DEVELOPMENT,PHILLIPS AVENUE,864,1.0,10800000.0,-,10400.0,Land,-,1038.0,Jun-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
39,EMERALD HILL CONSERVATION AREA,EMERALD HILL ROAD,999,1.0,10800000.0,-,2627.0,Land,-,4110.0,Feb-2017,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
40,LANDED HOUSING DEVELOPMENT,JALAN KAMPONG CHANTEK,999,1.0,10800000.0,-,9852.0,Land,-,1096.0,Aug-2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
41,LANDED HOUSING DEVELOPMENT,GOODMAN ROAD,999,1.0,10800000.0,-,5956.0,Land,-,1813.0,Dec-2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
42,SELETAR HILLS ESTATE,MIMOSA CRESCENT,999,1.0,10800000.0,-,10208.0,Land,-,1058.0,Mar-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
43,LANDED HOUSING DEVELOPMENT,BARKER ROAD,999,1.0,10800000.0,-,6536.0,Land,-,1652.0,Mar-2021,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
44,FRANKEL ESTATE,DUNBAR WALK,999,1.0,10800000.0,-,11107.0,Land,-,972.0,Sep-2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
45,LANDED HOUSING DEVELOPMENT,DUNSFOLD DRIVE,999,1.0,10750000.0,-,11444.0,Land,-,939.0,Jun-2017,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
46,WATTEN ESTATE,SHELFORD ROAD,999,1.0,10700000.0,-,8511.0,Land,-,1257.0,Oct-2017,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
47,LANDED HOUSING DEVELOPMENT,TAN SIM BOH ROAD,999,1.0,10620000.0,-,6500.0,Land,-,1634.0,Apr-2021,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
48,LANDED HOUSING DEVELOPMENT,TAN KIM CHENG ROAD,999,1.0,10600000.0,-,6012.0,Land,-,1763.0,Jul-2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
49,LANDED HOUSING DEVELOPMENT,CORONATION DRIVE,853,1.0,10600000.0,-,4519.0,Land,-,2346.0,Oct-2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
50,LANDED HOUSING DEVELOPMENT,SAUNDERS ROAD,999,1.0,10600000.0,-,2234.0,Land,-,4746.0,Apr-2021,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
51,LANDED HOUSING DEVELOPMENT,JALAN BAHASA,999,1.0,10600000.0,-,5941.0,Land,-,1784.0,Jan-2017,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
52,LANDED HOUSING DEVELOPMENT,BROADRICK ROAD,999,1.0,10600000.0,-,5719.0,Land,-,1853.0,Jul-2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
53,LANDED HOUSING DEVELOPMENT,VANDA DRIVE,999,1.0,10580000.0,-,7098.0,Land,-,1491.0,Sep-2020,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
54,LANDED HOUSING DEVELOPMENT,WILKINSON ROAD,999,1.0,10550000.0,-,7980.0,Land,-,1322.0,Dec-2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
55,PARADISE ISLAND,PARADISE ISLAND,83,1.0,10550000.0,-,8170.0,Land,-,1291.0,Aug-2020,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
56,LANDED HOUSING DEVELOPMENT,KEW DRIVE,999,1.0,10550000.0,-,11857.0,Land,-,890.0,Dec-2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
57,FRANKEL ESTATE,ROSEBURN AVENUE,999,1.0,10500000.0,-,5858.0,Land,-,1792.0,Aug-2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
58,LANDED HOUSING DEVELOPMENT,BINJAI PARK,999,1.0,10500000.0,-,9018.0,Land,-,1164.0,Nov-2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
59,LANDED HOUSING DEVELOPMENT,JALAN ARNAP,999,1.0,10500000.0,-,5298.0,Land,-,1982.0,Apr-2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
60,LANDED HOUSING DEVELOPMENT,JALAN KAMPONG CHANTEK,999,1.0,10500000.0,-,9091.0,Land,-,1155.0,May-2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
61,LANDED HOUSING DEVELOPMENT,CHANCERY LANE,999,1.0,10500000.0,-,4340.0,Land,-,2419.0,Apr-2018,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
62,FRANKEL ESTATE,COLDSTREAM AVENUE,999,1.0,10500000.0,-,9093.0,Land,-,1155.0,Mar-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
63,LANDED HOUSING DEVELOPMENT,MAYFIELD AVENUE,999,1.0,10500000.0,-,8437.0,Land,-,1245.0,Feb-2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
64,LANDED HOUSING DEVELOPMENT,MOUNTBATTEN ROAD,999,1.0,10500000.0,-,8093.0,Land,-,1297.0,Jul-2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
65,LANDED HOUSING DEVELOPMENT,VANDA ROAD,999,1.0,10500000.0,-,7246.0,Land,-,1449.0,Oct-2017,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
66,LANDED HOUSING DEVELOPMENT,HOLLAND GROVE LANE,999,1.0,10500000.0,-,4313.0,Land,-,2434.0,Jun-2020,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
67,LANDED HOUSING DEVELOPMENT,MATLOCK RISE,999,1.0,10500000.0,-,10199.0,Land,-,1030.0,Apr-2017,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
68,LANDED HOUSING DEVELOPMENT,WATTEN PARK,999,1.0,10500000.0,-,4030.0,Land,-,2605.0,Sep-2019,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
69,FRANKEL ESTATE,SIGLAP ROAD,999,1.0,10500000.0,-,12046.0,Land,-,872.0,Sep-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
70,EMERALD HILL CONSERVATION AREA,EMERALD HILL ROAD,999,1.0,10500000.0,-,2442.0,Land,-,4299.0,Sep-2019,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
71,LANDED HOUSING DEVELOPMENT,UPPER EAST COAST ROAD,999,1.0,10500000.0,-,13908.0,Land,-,755.0,May-2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
72,SELETAR HILLS ESTATE,NERAM ROAD,857,1.0,10500000.0,-,10259.0,Land,-,1023.0,Jul-2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
73,LANDED HOUSING DEVELOPMENT,JALAN TEMPUA,999,1.0,10490000.0,-,4835.0,Land,-,2170.0,Jun-2021,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
74,ORCHID VILLAGE,VANDA DRIVE,999,1.0,10480000.0,-,7033.0,Land,-,1490.0,Sep-2020,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
75,LANDED HOUSING DEVELOPMENT,SUNSET WAY,999,1.0,10450000.0,-,7039.0,Land,-,1485.0,Sep-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
76,LANDED HOUSING DEVELOPMENT,ROBIN WALK,999,1.0,10400000.0,-,5467.0,Land,-,1902.0,Jan-2018,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
77,LANDED HOUSING DEVELOPMENT,CRANBORNE ROAD,999,1.0,10388000.0,-,6276.0,Land,-,1655.0,May-2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
78,CALDECOTT HILL ESTATE,ANDREW ROAD,999,1.0,10380000.0,-,9884.0,Land,-,1050.0,Aug-2019,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
79,LANDED HOUSING DEVELOPMENT,HOLLAND ROAD,999,1.0,10380000.0,-,6568.0,Land,-,1580.0,Oct-2018,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
80,LANDED HOUSING DEVELOPMENT,HOLLAND ROAD,999,1.0,10350000.0,-,6734.0,Land,-,1537.0,Oct-2018,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
81,FRANKEL ESTATE,ROSEBURN AVENUE,999,1.0,10300000.0,-,5844.0,Land,-,1763.0,Jul-2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
82,LANDED HOUSING DEVELOPMENT,RAMSGATE ROAD,999,1.0,10300000.0,-,6336.0,Land,-,1626.0,Jul-2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
83,LANDED HOUSING DEVELOPMENT,BERRIMA ROAD,999,1.0,10300000.0,-,4583.0,Land,-,2247.0,Dec-2017,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
84,LANDED HOUSING DEVELOPMENT,SUNSET DRIVE,999,1.0,10300000.0,-,9707.0,Land,-,1061.0,Jan-2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
85,LANDED HOUSING DEVELOPMENT,JALAN KAMPONG CHANTEK,999,1.0,10300000.0,-,8899.0,Land,-,1157.0,Apr-2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
86,LANDED HOUSING DEVELOPMENT,GREENVIEW CRESCENT,999,1.0,10300000.0,-,7121.0,Land,-,1446.0,Mar-2020,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
87,LANDED HOUSING DEVELOPMENT,NIM ROAD,999,1.0,10300000.0,-,9955.0,Land,-,1035.0,Nov-2016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
88,SENTOSA COVE,CORAL ISLAND,83,1.0,10300000.0,-,7511.0,Land,-,1371.0,May-2021,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
89,LANDED HOUSING DEVELOPMENT,EMERALD HILL ROAD,999,1.0,10300000.0,-,1747.0,Land,-,5896.0,Jan-2021,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
90,LANDED HOUSING DEVELOPMENT,BOURNEMOUTH ROAD,999,1.0,10288000.0,-,6367.0,Land,-,1616.0,Mar-2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
91,LANDED HOUSING DEVELOPMENT,UNIVERSITY ROAD,999,1.0,10280000.0,-,4909.0,Land,-,2094.0,Mar-2019,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
92,FRANKEL ESTATE,FRANKEL STREET,999,1.0,10280000.0,-,6712.0,Land,-,1531.0,Apr-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
93,LANDED HOUSING DEVELOPMENT,JALAN TEMPUA,999,1.0,10268000.0,-,5976.0,Land,-,1718.0,Jun-2017,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
94,LANDED HOUSING DEVELOPMENT,MAYFIELD AVENUE,999,1.0,10250000.0,-,8696.0,Land,-,1179.0,Mar-2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
95,LANDED HOUSING DEVELOPMENT,JALAN HAJI ALIAS,999,1.0,10250000.0,-,6535.0,Land,-,1569.0,Aug-2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
96,FABER HILLS,FABER PARK,999,1.0,10250000.0,-,9046.0,Land,-,1133.0,Mar-2021,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
97,LANDED HOUSING DEVELOPMENT,LORONG SALLEH,999,1.0,10200000.0,-,9199.0,Land,-,1109.0,Sep-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
98,LANDED HOUSING DEVELOPMENT,CORONATION ROAD WEST,999,1.0,10200000.0,-,4733.0,Land,-,2155.0,Mar-2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
99,LANDED HOUSING DEVELOPMENT,FABER PARK,999,1.0,10200000.0,-,8099.0,Land,-,1259.0,Jan-2019,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
100,SELETAR HILLS ESTATE,KASAI ROAD,857,1.0,10200000.0,-,9499.0,Land,-,1074.0,Dec-2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
101,LANDED HOUSING DEVELOPMENT,HOLLAND GROVE LANE,999,1.0,10180000.0,-,4189.0,Land,-,2430.0,Aug-2020,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
102,CAPITOL PARK,JALAN BAHASA,999,1.0,10120000.0,-,5545.0,Land,-,1825.0,Jul-2020,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
