index,project name,street name,tenure,type of sale,no. of units,price,nett price,areasq,type of area,floor level,unit price psf,date of sale,market segment_CCR,market segment_OCR,market segment_RCR,postal district_2.0,postal district_3.0,postal district_4.0,postal district_5.0,postal district_8.0,postal district_9.0,postal district_10.0,postal district_11.0,postal district_12.0,postal district_13.0,postal district_14.0,postal district_15.0,postal district_16.0,postal district_17.0,postal district_18.0,postal district_19.0,postal district_20.0,postal district_21.0,postal district_22.0,postal district_23.0,postal district_25.0,postal district_26.0,postal district_27.0,postal district_28.0,type_Detached,type_Semi-detached,type_Terrace
0,LANDED HOUSING DEVELOPMENT,DUBLIN ROAD,999,Resale,1.0,5128000.0,-,1720.0,Land,-,2981.0,Jul-2021,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,LANDED HOUSING DEVELOPMENT,JALAN JINTAN,999,Resale,1.0,4908000.0,-,1650.0,Land,-,2974.0,Jan-2018,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,MACPHERSON GARDEN ESTATE,JALAN KEMAJUAN,999,Resale,1.0,2680000.0,-,903.0,Land,-,2968.0,Oct-2021,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,EMERALD HILL CONSERVATION AREA,EMERALD HILL ROAD,999,Resale,1.0,8300000.0,-,2799.0,Land,-,2966.0,Sep-2020,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,LANDED HOUSING DEVELOPMENT,NAMLY RISE,999,Resale,1.0,9500000.0,-,3209.0,Land,-,2961.0,Aug-2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,LANDED HOUSING DEVELOPMENT,EVERITT ROAD,999,Resale,1.0,3500000.0,-,1188.0,Land,-,2945.0,Mar-2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,LANDED HOUSING DEVELOPMENT,JOO CHIAT PLACE,999,Resale,1.0,2700000.0,-,917.0,Land,-,2944.0,Mar-2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,THE GREENWOOD,GREENWOOD AVENUE,999,Resale,1.0,4800000.0,-,1634.0,Land,-,2938.0,Apr-2021,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,LANDED HOUSING DEVELOPMENT,CHATSWORTH AVENUE,999,Resale,1.0,27380000.0,-,9319.0,Land,-,2938.0,Jan-2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,WATTEN ESTATE,SHELFORD ROAD,999,Resale,1.0,4880000.0,-,1664.0,Land,-,2932.0,May-2021,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,BLAIR PLAIN CONSERVATION AREA,BLAIR ROAD,999,Resale,1.0,4750000.0,-,1625.0,Land,-,2922.0,Oct-2017,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,LANDED HOUSING DEVELOPMENT,JOO CHIAT PLACE,999,Resale,1.0,2700000.0,-,927.0,Land,-,2913.0,Nov-2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,LANDED HOUSING DEVELOPMENT,CARPMAEL ROAD,999,Resale,1.0,2000000.0,-,687.0,Land,-,2912.0,Dec-2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,LANDED HOUSING DEVELOPMENT,MAKEPEACE ROAD,999,Resale,1.0,4500000.0,-,1549.0,Land,-,2905.0,May-2021,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,LANDED HOUSING DEVELOPMENT,TEMBELING ROAD,999,Resale,1.0,3680000.0,-,1268.0,Land,-,2902.0,Sep-2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,LANDED HOUSING DEVELOPMENT,SWETTENHAM CLOSE,999,Resale,1.0,48000000.0,-,16594.0,Land,-,2893.0,Jan-2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,LANDED HOUSING DEVELOPMENT,JOO CHIAT PLACE,999,Resale,1.0,2650000.0,-,919.0,Land,-,2883.0,Jul-2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,LANDED HOUSING DEVELOPMENT,JOO CHIAT PLACE,999,Resale,1.0,2650000.0,-,921.0,Land,-,2876.0,Jan-2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,LANDED HOUSING DEVELOPMENT,COVE DRIVE,84,Resale,1.0,22800000.0,-,7963.0,Land,-,2863.0,Aug-2020,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19,LANDED HOUSING DEVELOPMENT,MEYAPPA CHETTIAR ROAD,999,Resale,1.0,8000000.0,-,2812.0,Land,-,2845.0,Jul-2018,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20,LANDED HOUSING DEVELOPMENT,JALAN TUPAI,999,Resale,1.0,6158888.0,-,2168.0,Land,-,2841.0,Mar-2019,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21,LANDED HOUSING DEVELOPMENT,JOO CHIAT PLACE,999,Resale,1.0,2720000.0,-,959.0,Land,-,2836.0,Jan-2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,LANDED HOUSING DEVELOPMENT,EVERITT ROAD,999,Resale,1.0,4200000.0,-,1481.0,Land,-,2836.0,Mar-2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,LANDED HOUSING DEVELOPMENT,JALAN ELOK,999,Resale,1.0,4700000.0,-,1658.0,Land,-,2835.0,Dec-2017,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,LANDED HOUSING DEVELOPMENT,JOO CHIAT PLACE,999,Resale,1.0,2600000.0,-,918.0,Land,-,2832.0,Jan-2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,OPERA ESTATE,FIGARO STREET,999,Resale,1.0,4300000.0,-,1520.0,Land,-,2829.0,Sep-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,BLAIR PLAIN CONSERVATION AREA,BLAIR ROAD,999,Resale,1.0,5850000.0,-,2084.0,Land,-,2807.0,Jun-2021,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,LANDED HOUSING DEVELOPMENT,FERNHILL CLOSE,999,Resale,1.0,6250000.0,-,2231.0,Land,-,2801.0,Oct-2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28,LANDED HOUSING DEVELOPMENT,WHITLEY ROAD,999,Resale,1.0,6020000.0,-,2153.0,Land,-,2796.0,Aug-2021,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
29,CAPITOL PARK,JALAN ADAT,999,Resale,1.0,5100000.0,-,1828.0,Land,-,2790.0,Sep-2019,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,CAYMAN RESIDENCES,EAST COAST AVENUE,999,New Sale,1.0,4675000.0,-,1679.0,Land,-,2784.0,Jul-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,THE GREENWOOD,GREENWOOD AVENUE,999,Resale,1.0,4562500.0,-,1640.0,Land,-,2781.0,Nov-2020,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,SHAMROCK PARK,NAMLY PLACE,999,Resale,1.0,5020000.0,-,1806.0,Land,-,2779.0,Jul-2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,LANDED HOUSING DEVELOPMENT,MARSHALL ROAD,999,Resale,1.0,2460000.0,-,887.0,Land,-,2774.0,Nov-2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,LANDED HOUSING DEVELOPMENT,NIVEN ROAD,999,Resale,1.0,4003888.0,-,1446.0,Land,-,2770.0,Sep-2021,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,CAYMAN RESIDENCES,EAST COAST AVENUE,999,New Sale,1.0,4698888.0,-,1701.0,Land,-,2763.0,May-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,LANDED HOUSING DEVELOPMENT,JOO CHIAT PLACE,999,Resale,1.0,3520000.0,-,1276.0,Land,-,2760.0,Jul-2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,LANDED HOUSING DEVELOPMENT,AMBER ROAD,999,Resale,1.0,7510000.0,-,2722.0,Land,-,2759.0,Feb-2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
38,LANDED HOUSING DEVELOPMENT,NAMLY PLACE,999,Resale,1.0,4950000.0,-,1799.0,Land,-,2752.0,Sep-2017,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
39,EMERALD HILL CONSERVATION AREA,SAUNDERS ROAD,999,Resale,1.0,6100000.0,-,2216.0,Land,-,2752.0,Apr-2021,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,LANDED HOUSING DEVELOPMENT,VANDA CRESCENT,999,Resale,1.0,11800000.0,-,4298.0,Land,-,2745.0,Sep-2020,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41,LANDED HOUSING DEVELOPMENT,EVERITT ROAD,999,Resale,1.0,3250000.0,-,1186.0,Land,-,2740.0,May-2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
42,LINK RESIDENCE @ HOLLAND,GREENLEAF VIEW,999,Resale,1.0,12270000.0,-,4490.0,Land,-,2733.0,Aug-2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
43,LANDED HOUSING DEVELOPMENT,JERVOIS HILL,999,Resale,1.0,41200000.0,-,15094.0,Land,-,2729.0,Jun-2018,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
44,LANDED HOUSING DEVELOPMENT,NAMLY AVENUE,999,Resale,1.0,8800000.0,-,3225.0,Land,-,2729.0,Jun-2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
45,THE VILLAS @ SENTOSA COVE,OCEAN DRIVE,83,Resale,1.0,7000000.0,-,2569.0,Land,-,2724.0,Oct-2021,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,MACPHERSON GARDEN ESTATE,JALAN GEMBIRA,999,Resale,1.0,2500888.0,-,920.0,Land,-,2717.0,Oct-2021,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47,LANDED HOUSING DEVELOPMENT,CLUNY HILL,999,Resale,1.0,40999998.0,-,15098.0,Land,-,2716.0,Feb-2019,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
48,LANDED HOUSING DEVELOPMENT,CAMBRIDGE ROAD,999,Resale,1.0,4420000.0,-,1629.0,Land,-,2714.0,Feb-2021,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49,CORONATION VILLAGE,CORONATION ROAD,853,Resale,1.0,5060000.0,-,1868.0,Land,-,2709.0,Sep-2019,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50,QUEEN ASTRID PARK,QUEEN ASTRID PARK,854,Resale,1.0,86000000.0,-,31807.0,Land,-,2704.0,Jul-2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
51,LANDED HOUSING DEVELOPMENT,JALAN KAYU MANIS,999,Resale,1.0,4450000.0,-,1650.0,Land,-,2697.0,Nov-2020,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52,THE GREENWOOD,GREENWOOD LANE,999,Resale,1.0,4350000.0,-,1615.0,Land,-,2694.0,Sep-2021,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,KISMIS RESIDENCES,ENG KONG ROAD,999,Resale,1.0,4358888.0,-,1620.0,Land,-,2691.0,May-2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
54,CAYMAN RESIDENCES,EAST COAST AVENUE,999,New Sale,1.0,4600000.0,-,1711.0,Land,-,2688.0,Apr-2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,THE GREENWOOD,GREENWOOD AVENUE,999,Resale,1.0,4380000.0,-,1630.0,Land,-,2688.0,May-2018,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
56,LANDED HOUSING DEVELOPMENT,GROVE DRIVE,999,New Sale,1.0,11200000.0,-,4170.0,Land,-,2686.0,Jul-2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
57,LANDED HOUSING DEVELOPMENT,JOO CHIAT PLACE,999,Resale,1.0,4150000.0,-,1546.0,Land,-,2685.0,Jul-2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
58,LANDED HOUSING DEVELOPMENT,GUILLEMARD LANE,999,Resale,1.0,25200000.0,-,9387.0,Land,-,2684.0,Oct-2017,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
59,OPERA ESTATE,JALAN BANGSAWAN,999,Resale,1.0,4500000.0,-,1677.0,Land,-,2683.0,Aug-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,CAPITOL PARK,JALAN ADAT,999,Resale,1.0,4900000.0,-,1828.0,Land,-,2681.0,Jan-2020,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
61,LANDED HOUSING DEVELOPMENT,DUKE'S ROAD,999,Resale,1.0,7050000.0,-,2636.0,Land,-,2674.0,May-2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
62,THE GREENWOOD,GREENWOOD AVENUE,999,Resale,1.0,4350000.0,-,1628.0,Land,-,2673.0,Apr-2019,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
63,CAYMAN RESIDENCES,EAST COAST AVENUE,999,New Sale,1.0,4400000.0,-,1647.0,Land,-,2672.0,Jun-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
64,SHAMROCK PARK,NAMLY PLACE,999,Resale,1.0,4800000.0,-,1798.0,Land,-,2670.0,Jun-2018,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65,LANDED HOUSING DEVELOPMENT,NIVEN ROAD,999,Resale,1.0,3850000.0,-,1443.0,Land,-,2667.0,Feb-2020,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66,KISMIS RESIDENCES,UPPER TOH TUCK TERRACE,999,New Sale,1.0,4300000.0,-,1615.0,Land,-,2663.0,Jan-2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
67,LANDED HOUSING DEVELOPMENT,WATTEN ESTATE ROAD,999,Resale,1.0,11550000.0,-,4341.0,Land,-,2661.0,Jul-2020,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
68,CAYMAN RESIDENCES,EAST COAST AVENUE,999,New Sale,1.0,4380000.0,-,1647.0,Land,-,2660.0,May-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
69,LANDED HOUSING DEVELOPMENT,BELMONT ROAD,999,Resale,1.0,39800000.0,-,15001.0,Land,-,2653.0,Jun-2019,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
70,LANDED HOUSING DEVELOPMENT,LENGKOK ANGSA,999,Resale,1.0,6600000.0,-,2489.0,Land,-,2652.0,Oct-2017,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
71,PETAIN RD/TYRWHITT RD CONSERVATION AREA,PETAIN ROAD,999,Resale,1.0,3700000.0,-,1396.0,Land,-,2650.0,Nov-2020,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
72,SANNY PARK,MERRYN TERRACE,999,Resale,1.0,4380000.0,-,1657.0,Land,-,2644.0,Apr-2019,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
73,ROSIE VIEW,MOUNT ROSIE ROAD,999,Resale,1.0,5400000.0,-,2044.0,Land,-,2642.0,Jul-2021,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
74,CAYMAN RESIDENCES,EAST COAST AVENUE,999,New Sale,1.0,4600000.0,-,1744.0,Land,-,2638.0,Feb-2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75,LANDED HOUSING DEVELOPMENT,FOWLIE ROAD,999,Resale,1.0,4000001.0,-,1519.0,Land,-,2634.0,Sep-2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
76,KISMIS RESIDENCES,UPPER TOH TUCK TERRACE,999,New Sale,1.0,4250000.0,-,1615.0,Land,-,2632.0,Nov-2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
77,LANDED HOUSING DEVELOPMENT,VANDA CRESCENT,999,Resale,1.0,12500000.0,-,4758.0,Land,-,2627.0,Mar-2021,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
78,LANDED HOUSING DEVELOPMENT,GREENLEAF DRIVE,999,Resale,1.0,6135000.0,-,2348.0,Land,-,2613.0,Nov-2018,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
79,LANDED HOUSING DEVELOPMENT,BARKER ROAD,999,Resale,1.0,6180000.0,-,2366.0,Land,-,2612.0,Apr-2018,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
80,CAYMAN RESIDENCES,EAST COAST AVENUE,999,New Sale,1.0,6100000.0,-,2336.0,Land,-,2612.0,Jun-2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
81,LANDED HOUSING DEVELOPMENT,LORONG 101 CHANGI,999,Resale,1.0,1880000.0,-,720.0,Land,-,2611.0,Feb-2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
82,DYSON RITZ,DYSON ROAD,999,New Sale,1.0,5650000.0,-,2164.0,Land,-,2611.0,May-2018,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
83,LANDED HOUSING DEVELOPMENT,CORONATION ROAD WEST,999,Resale,1.0,13600000.0,-,5210.0,Land,-,2610.0,Aug-2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
84,LANDED HOUSING DEVELOPMENT,DUBLIN ROAD,999,Resale,1.0,7300000.0,-,2798.0,Land,-,2609.0,Mar-2021,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
85,LANDED HOUSING DEVELOPMENT,JALAN KAYU MANIS,999,Resale,1.0,4300000.0,-,1650.0,Land,-,2606.0,Jul-2021,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
86,LANDED HOUSING DEVELOPMENT,JALAN KAYU MANIS,999,Resale,1.0,4300000.0,-,1650.0,Land,-,2606.0,Jul-2021,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
87,MING TECK PARK,MING TECK PARK,854,Resale,1.0,5750000.0,-,2207.0,Land,-,2606.0,Sep-2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
88,CAYMAN RESIDENCES,EAST COAST AVENUE,999,New Sale,1.0,4600000.0,-,1765.0,Land,-,2606.0,Oct-2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
89,LANDED HOUSING DEVELOPMENT,WATTEN PARK,999,Resale,1.0,10500000.0,-,4030.0,Land,-,2605.0,Sep-2019,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
90,MACPHERSON GARDEN ESTATE,JALAN SETIA,999,Resale,1.0,2301000.0,-,884.0,Land,-,2604.0,May-2021,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
91,THE GREENWOOD,GREENWOOD AVENUE,999,Resale,1.0,4228500.0,-,1624.0,Land,-,2603.0,Mar-2019,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
92,CAYMAN RESIDENCES,EAST COAST AVENUE,999,New Sale,1.0,4508000.0,-,1733.0,Land,-,2601.0,Oct-2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
93,LANDED HOUSING DEVELOPMENT,WHITLEY ROAD,999,Resale,1.0,5600000.0,-,2153.0,Land,-,2601.0,Aug-2018,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
94,LANDED HOUSING DEVELOPMENT,JALAN ELOK,999,Resale,1.0,4850000.0,-,1869.0,Land,-,2595.0,Feb-2020,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
95,FRANKEL ESTATE,BOWMONT GARDENS,999,Resale,1.0,4015000.0,-,1548.0,Land,-,2594.0,Oct-2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
96,WATTEN ESTATE,WATTEN DRIVE,999,Resale,1.0,4580000.0,-,1766.0,Land,-,2593.0,Sep-2021,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
97,KISMIS RESIDENCES,UPPER TOH TUCK TERRACE,999,New Sale,1.0,4180000.0,-,1615.0,Land,-,2589.0,Feb-2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
98,LANDED HOUSING DEVELOPMENT,NAROOMA ROAD,999,Resale,1.0,13288888.0,-,5137.0,Land,-,2587.0,Jun-2019,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
99,LANDED HOUSING DEVELOPMENT,DYSON ROAD,999,Resale,1.0,5700000.0,-,2204.0,Land,-,2586.0,Oct-2018,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100,THE GREENWOOD,GREENWOOD AVENUE,999,Resale,1.0,4180000.0,-,1621.0,Land,-,2579.0,Nov-2019,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
101,LANDED HOUSING DEVELOPMENT,BERRIMA ROAD,999,Resale,1.0,12000000.0,-,4658.0,Land,-,2576.0,Apr-2021,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
102,LANDED HOUSING DEVELOPMENT,ONAN ROAD,999,Resale,1.0,4000000.0,-,1554.0,Land,-,2573.0,Nov-2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
103,LANDED HOUSING DEVELOPMENT,ROBIN WALK,999,Resale,1.0,7230000.0,-,2813.0,Land,-,2571.0,Oct-2018,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
104,KISMIS RESIDENCES,UPPER TOH TUCK TERRACE,999,New Sale,1.0,4150000.0,-,1615.0,Land,-,2570.0,Apr-2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
