index,project name,street name,type,tenure,postal district,market segment,type of sale,no. of units,price,nett price,areasq,type of area,floor level,unit price psf,date of sale
0,LANDED HOUSING DEVELOPMENT,PEARL ISLAND,Detached,86,4.0,CCR,Resale,1.0,16550000.0,-,8940.0,Land,-,1851.0,Jun-2017
1,LANDED HOUSING DEVELOPMENT,MERRYN ROAD,Detached,999,11.0,CCR,Resale,1.0,16550000.0,-,8878.0,Land,-,1864.0,Aug-2021
2,LANDED HOUSING DEVELOPMENT,COVE DRIVE,Detached,85,4.0,CCR,Resale,1.0,16500000.0,-,7281.0,Land,-,2266.0,Sep-2020
3,LANDED HOUSING DEVELOPMENT,WALTON ROAD,Detached,999,15.0,RCR,Resale,1.0,16300000.0,-,8673.0,Land,-,1879.0,Jul-2021
4,SANNY PARK,MERRYN ROAD,Detached,999,11.0,CCR,Resale,1.0,16300000.0,-,9064.0,Land,-,1798.0,Aug-2021
5,LANDED HOUSING DEVELOPMENT,OEI TIONG HAM PARK,Detached,999,10.0,CCR,Resale,1.0,16200000.0,-,10061.0,Land,-,1610.0,May-2020
6,RAFFLES PARK,CASSIA DRIVE,Detached,999,11.0,CCR,Resale,1.0,16128000.0,-,10458.0,Land,-,1542.0,Oct-2018
7,LANDED HOUSING DEVELOPMENT,OCEAN DRIVE,Detached,83,4.0,CCR,Resale,1.0,16000000.0,-,7816.0,Land,-,2047.0,Feb-2021
8,LANDED HOUSING DEVELOPMENT,NAMLY CRESCENT,Semi-detached,999,10.0,CCR,Resale,2.0,16000000.0,-,12689.0,Land,-,1261.0,Feb-2018
9,FRANKEL ESTATE,FRANKEL STREET,Detached,999,15.0,OCR,Resale,1.0,16000000.0,-,7772.0,Land,-,2059.0,Apr-2021
10,EWART PARK,EWART PARK,Detached,999,10.0,CCR,Resale,1.0,15928950.0,-,15465.0,Land,-,1030.0,Apr-2017
11,LANDED HOUSING DEVELOPMENT,WILKINSON ROAD,Detached,999,15.0,RCR,Resale,1.0,15880000.0,-,11229.0,Land,-,1414.0,May-2018
12,LANDED HOUSING DEVELOPMENT,SIAN TUAN AVENUE,Detached,857,21.0,RCR,Resale,1.0,15880000.0,-,11615.0,Land,-,1367.0,Mar-2021
13,LANDED HOUSING DEVELOPMENT,JALAN BAHASA,Detached,999,11.0,CCR,Resale,1.0,15800000.0,-,10140.0,Land,-,1558.0,Oct-2017
14,RAFFLES PARK,SUNSET AVENUE,Detached,999,11.0,CCR,Resale,1.0,15700000.0,-,10178.0,Land,-,1542.0,Aug-2018
15,LANDED HOUSING DEVELOPMENT,ONE TREE HILL,Detached,999,10.0,CCR,Resale,1.0,15700000.0,-,4497.0,Land,-,3491.0,Sep-2021
16,LANDED HOUSING DEVELOPMENT,SHELFORD ROAD,Detached,999,11.0,CCR,Resale,1.0,15680000.0,-,10754.0,Land,-,1458.0,Oct-2017
17,LANDED HOUSING DEVELOPMENT,LENGKOK MERAK,Semi-detached,999,10.0,CCR,Resale,1.0,15600000.0,-,4672.0,Land,-,3339.0,Mar-2021
18,LANDED HOUSING DEVELOPMENT,WILKINSON ROAD,Detached,999,15.0,RCR,Sub Sale,1.0,15550000.0,-,8009.0,Land,-,1941.0,Jun-2018
19,LANDED HOUSING DEVELOPMENT,LAKESHORE VIEW,Detached,83,4.0,CCR,Resale,1.0,15500000.0,-,8576.0,Land,-,1807.0,Jul-2017
20,DUNEARN ESTATE,TREVOSE CRESCENT,Detached,999,11.0,CCR,Resale,1.0,15500000.0,-,8035.0,Land,-,1929.0,Sep-2018
21,RAFFLES PARK,ORIOLE CRESCENT,Detached,999,11.0,CCR,Resale,1.0,15500000.0,-,9795.0,Land,-,1582.0,Jan-2020
22,BAN GUAN PARK,HOLLAND ROAD,Detached,999,10.0,CCR,Resale,1.0,15500000.0,-,9050.0,Land,-,1713.0,Feb-2020
23,ONE TREE HILL COLLECTION,JALAN KELAWAR,Detached,999,10.0,CCR,New Sale,1.0,15500000.0,-,5145.0,Land,-,3013.0,Feb-2020
24,LANDED HOUSING DEVELOPMENT,LAKESHORE VIEW,Detached,84,4.0,CCR,Resale,1.0,15450000.0,-,10181.0,Land,-,1518.0,Aug-2020
25,LANDED HOUSING DEVELOPMENT,WATTEN ESTATE ROAD,Detached,999,11.0,CCR,Resale,1.0,15352000.0,-,9415.0,Land,-,1631.0,Jun-2021
26,LANDED HOUSING DEVELOPMENT,JALAN BAHASA,Detached,999,11.0,CCR,Resale,1.0,15300000.0,-,9804.0,Land,-,1561.0,Dec-2017
27,LANDED HOUSING DEVELOPMENT,JALAN KAMPONG CHANTEK,Detached,999,21.0,RCR,Resale,1.0,15300000.0,-,11155.0,Land,-,1372.0,Oct-2018
28,LANDED HOUSING DEVELOPMENT,DALKEITH ROAD,Detached,999,11.0,CCR,Resale,1.0,15250000.0,-,10030.0,Land,-,1520.0,Oct-2020
29,LANDED HOUSING DEVELOPMENT,WILKINSON ROAD,Detached,999,15.0,RCR,Sub Sale,1.0,15200000.0,-,8021.0,Land,-,1895.0,Apr-2019
30,LANDED HOUSING DEVELOPMENT,BRANKSOME ROAD,Detached,999,15.0,RCR,Resale,1.0,15080000.0,-,13189.0,Land,-,1143.0,Nov-2016
31,LANDED HOUSING DEVELOPMENT,EAST COAST ROAD,Terrace,999,15.0,RCR,Resale,3.0,15074734.0,-,7556.0,Land,-,1995.0,Nov-2018
32,LANDED HOUSING DEVELOPMENT,POOLE ROAD,Detached,999,15.0,RCR,Resale,1.0,15000000.0,-,9805.0,Land,-,1530.0,Jan-2021
33,LANDED HOUSING DEVELOPMENT,OEI TIONG HAM PARK,Detached,999,10.0,CCR,Resale,1.0,15000000.0,-,13227.0,Land,-,1134.0,Jul-2020
34,LANDED HOUSING DEVELOPMENT,NAMLY HILL,Detached,999,10.0,CCR,Resale,1.0,15000000.0,-,7694.0,Land,-,1950.0,May-2021
35,LANDED HOUSING DEVELOPMENT,COVE WAY,Detached,85,4.0,CCR,Resale,1.0,15000000.0,-,9907.0,Land,-,1514.0,Feb-2021
36,LANDED HOUSING DEVELOPMENT,KINGSMEAD ROAD,Detached,999,10.0,CCR,Resale,1.0,15000000.0,-,9494.0,Land,-,1580.0,Sep-2018
37,LANDED HOUSING DEVELOPMENT,COVE DRIVE,Detached,85,4.0,CCR,Resale,1.0,15000000.0,-,8126.0,Land,-,1846.0,Jul-2021
38,SEMBAWANG PARK,JALAN MATA AYER,Detached,863,27.0,OCR,Resale,2.0,14950000.0,-,21120.0,Land,-,708.0,Aug-2021
39,KASARA,OCEAN DRIVE,Detached,84,4.0,CCR,Resale,1.0,14850000.0,-,9042.0,Land,-,1642.0,Aug-2021
40,LANDED HOUSING DEVELOPMENT,EAST SUSSEX LANE,Detached,999,10.0,CCR,Resale,1.0,14800000.0,-,11542.0,Land,-,1282.0,Oct-2017
41,KASARA,OCEAN DRIVE,Detached,84,4.0,CCR,Resale,1.0,14800000.0,-,9042.0,Land,-,1637.0,Nov-2018
42,LANDED HOUSING DEVELOPMENT,HOLLAND GROVE LANE,Detached,999,10.0,CCR,Resale,1.0,14800000.0,-,8425.0,Land,-,1757.0,Dec-2020
43,SENTOSA COVE,TREASURE ISLAND,Detached,84,4.0,CCR,Resale,1.0,14800000.0,-,8470.0,Land,-,1747.0,Jul-2021
44,LANDED HOUSING DEVELOPMENT,WOOLLERTON DRIVE,Detached,999,10.0,CCR,Resale,1.0,14773000.0,-,8127.0,Land,-,1818.0,May-2018
45,KASARA,OCEAN DRIVE,Detached,84,4.0,CCR,Resale,1.0,14688000.0,-,9042.0,Land,-,1624.0,Mar-2021
46,PARADISE ISLAND,PARADISE ISLAND,Detached,83,4.0,CCR,Resale,1.0,14688000.0,-,7369.0,Land,-,1993.0,Nov-2017
47,HENRY PARK,GROVE CRESCENT,Detached,999,10.0,CCR,Resale,1.0,14600000.0,-,8043.0,Land,-,1815.0,Mar-2021
48,PARADISE ISLAND,PARADISE ISLAND,Detached,83,4.0,CCR,Resale,1.0,14600000.0,-,8051.0,Land,-,1813.0,Jun-2021
49,LANDED HOUSING DEVELOPMENT,CASSIA DRIVE,Detached,999,11.0,CCR,Resale,1.0,14550000.0,-,10237.0,Land,-,1421.0,Apr-2018
50,LANDED HOUSING DEVELOPMENT,COVE GROVE,Detached,85,4.0,CCR,Resale,1.0,14500000.0,-,11515.0,Land,-,1259.0,May-2017
51,LANDED HOUSING DEVELOPMENT,JALAN SENANDONG,Detached,999,11.0,CCR,Resale,1.0,14500000.0,-,9599.0,Land,-,1511.0,Jan-2018
52,LANDED HOUSING DEVELOPMENT,JALAN BAHASA,Detached,999,11.0,CCR,Resale,1.0,14500000.0,-,9266.0,Land,-,1565.0,Dec-2017
53,LANDED HOUSING DEVELOPMENT,SUNSET HEIGHTS,Detached,999,21.0,OCR,Resale,1.0,14500000.0,-,15056.0,Land,-,963.0,Mar-2021
54,LANDED HOUSING DEVELOPMENT,HOLLAND GROVE WALK,Detached,999,10.0,CCR,Resale,1.0,14500000.0,-,8161.0,Land,-,1777.0,Oct-2021
55,LANDED HOUSING DEVELOPMENT,OCEAN DRIVE,Detached,83,4.0,CCR,Resale,1.0,14500000.0,-,9885.0,Land,-,1467.0,May-2019
56,LANDED HOUSING DEVELOPMENT,GREENDALE RISE,Detached,999,11.0,CCR,Resale,1.0,14380000.0,-,13182.0,Land,-,1091.0,Feb-2017
57,LANDED HOUSING DEVELOPMENT,DYSON ROAD,Detached,999,11.0,CCR,Resale,1.0,14350000.0,-,12323.0,Land,-,1165.0,Sep-2020
58,LANDED HOUSING DEVELOPMENT,VANDA CRESCENT,Detached,999,11.0,CCR,Resale,1.0,14250000.0,-,9055.0,Land,-,1574.0,Mar-2018
59,LANDED HOUSING DEVELOPMENT,CORONATION ROAD WEST,Detached,999,10.0,CCR,Resale,1.0,14250000.0,-,10176.0,Land,-,1400.0,Jul-2021
60,LANDED HOUSING DEVELOPMENT,NAMLY VIEW,Detached,999,10.0,CCR,Resale,1.0,14200000.0,-,11314.0,Land,-,1255.0,Dec-2017
61,LANDED HOUSING DEVELOPMENT,JALAN ASUHAN,Detached,999,11.0,CCR,Resale,1.0,14200000.0,-,11718.0,Land,-,1212.0,Feb-2019
62,LANDED HOUSING DEVELOPMENT,VICTORIA PARK ROAD,Detached,999,10.0,CCR,Resale,1.0,14200000.0,-,8719.0,Land,-,1629.0,Apr-2021
63,LANDED HOUSING DEVELOPMENT,BINJAI RISE,Detached,999,21.0,RCR,Resale,1.0,14200000.0,-,17035.0,Land,-,834.0,Aug-2018
64,LANDED HOUSING DEVELOPMENT,KING'S ROAD,Detached,999,10.0,CCR,Resale,1.0,14080000.0,-,8977.0,Land,-,1568.0,Aug-2021
65,KASARA,OCEAN DRIVE,Detached,84,4.0,CCR,Resale,1.0,14000000.0,-,9042.0,Land,-,1548.0,Oct-2018
66,LANDED HOUSING DEVELOPMENT,COVE WAY,Detached,85,4.0,CCR,Resale,1.0,14000000.0,-,8944.0,Land,-,1565.0,Dec-2020
67,LANDED HOUSING DEVELOPMENT,ORIOLE CRESCENT,Detached,999,11.0,CCR,Resale,1.0,14000000.0,-,8511.0,Land,-,1645.0,Apr-2017
68,LANDED HOUSING DEVELOPMENT,JALAN BAHASA,Detached,999,11.0,CCR,Resale,1.0,14000000.0,-,8910.0,Land,-,1571.0,Jan-2018
69,LANDED HOUSING DEVELOPMENT,NAMLY GROVE,Detached,999,10.0,CCR,Resale,1.0,14000000.0,-,8341.0,Land,-,1678.0,Aug-2018
70,LANDED HOUSING DEVELOPMENT,COVE DRIVE,Detached,85,4.0,CCR,Resale,1.0,14000000.0,-,6851.0,Land,-,2043.0,May-2018
71,PARADISE ISLAND,PARADISE ISLAND,Detached,83,4.0,CCR,Resale,1.0,14000000.0,-,9236.0,Land,-,1516.0,Oct-2018
72,HOCK SENG PARK,JALAN JAMBU AYER,Detached,999,21.0,RCR,Resale,1.0,14000000.0,-,9803.0,Land,-,1428.0,Nov-2020
73,LANDED HOUSING DEVELOPMENT,COVE DRIVE,Detached,84,4.0,CCR,Resale,1.0,14000000.0,-,9689.0,Land,-,1445.0,Jun-2017
74,LANDED HOUSING DEVELOPMENT,LAKESHORE VIEW,Detached,84,4.0,CCR,Resale,1.0,14000000.0,-,11694.0,Land,-,1197.0,Jan-2020
75,LANDED HOUSING DEVELOPMENT,WOOLLERTON DRIVE,Detached,999,10.0,CCR,Resale,1.0,14000000.0,-,8158.0,Land,-,1716.0,May-2018
76,LANDED HOUSING DEVELOPMENT,JALAN MERLIMAU,Detached,999,11.0,CCR,Resale,1.0,14000000.0,-,12260.0,Land,-,1142.0,Feb-2017
77,LANDED HOUSING DEVELOPMENT,ONE TREE HILL,Detached,999,10.0,CCR,New Sale,1.0,13880000.0,-,4497.0,Land,-,3086.0,Dec-2017
78,SHAMROCK PARK,NAMLY CRESCENT,Detached,999,10.0,CCR,Resale,1.0,13800000.0,-,7176.0,Land,-,1923.0,Sep-2021
79,LANDED HOUSING DEVELOPMENT,FERNHILL CRESCENT,Semi-detached,999,10.0,CCR,Resale,1.0,13800000.0,-,6230.0,Land,-,2215.0,May-2021
80,LANDED HOUSING DEVELOPMENT,LORNIE ROAD,Detached,999,11.0,CCR,Resale,1.0,13800000.0,-,6043.0,Land,-,2284.0,Jan-2018
81,BRADDELL HEIGHTS ESTATE,MELROSE DRIVE,Detached,999,13.0,OCR,Resale,1.0,13800000.0,-,7564.0,Land,-,1824.0,Feb-2021
82,CORONATION WEST PARK,CORONATION ROAD WEST,Semi-detached,853,10.0,CCR,Resale,1.0,13800000.0,-,6676.0,Land,-,2067.0,Apr-2021
83,LANDED HOUSING DEVELOPMENT,ORIOLE CRESCENT,Detached,999,11.0,CCR,Resale,1.0,13730000.0,-,10600.0,Land,-,1295.0,Aug-2017
84,LANDED HOUSING DEVELOPMENT,JALAN SEJARAH,Detached,999,11.0,CCR,Resale,1.0,13680000.0,-,6552.0,Land,-,2088.0,Jun-2018
85,DUNEARN ESTATE,BERRIMA ROAD,Detached,999,11.0,CCR,Resale,1.0,13650000.0,-,8148.0,Land,-,1675.0,Feb-2021
86,LANDED HOUSING DEVELOPMENT,GREENLEAF DRIVE,Detached,999,10.0,CCR,Resale,1.0,13628000.0,-,8049.0,Land,-,1693.0,Jul-2021
87,LANDED HOUSING DEVELOPMENT,CORONATION ROAD,Detached,853,10.0,CCR,Resale,1.0,13600000.0,-,9637.0,Land,-,1411.0,Apr-2021
88,LANDED HOUSING DEVELOPMENT,CORONATION ROAD WEST,Detached,999,10.0,CCR,Resale,1.0,13600000.0,-,5210.0,Land,-,2610.0,Aug-2021
89,LANDED HOUSING DEVELOPMENT,CORONATION DRIVE,Detached,853,10.0,CCR,New Sale,1.0,13580000.0,-,5574.0,Land,-,2436.0,Nov-2019
90,LANDED HOUSING DEVELOPMENT,JALAN TANI,Detached,853,19.0,OCR,Resale,1.0,13561370.0,-,16339.0,Land,-,830.0,Jul-2019
91,BINJAI PARK,BINJAI RISE,Detached,999,21.0,RCR,Resale,1.0,13500000.0,-,14002.0,Land,-,964.0,Dec-2020
92,LANDED HOUSING DEVELOPMENT,WALTON ROAD,Detached,999,15.0,RCR,Resale,1.0,13500000.0,-,8673.0,Land,-,1557.0,Aug-2017
93,LANDED HOUSING DEVELOPMENT,HOLLAND ROAD,Detached,999,10.0,CCR,Resale,1.0,13500000.0,-,9694.0,Land,-,1393.0,Aug-2018
94,LANDED HOUSING DEVELOPMENT,NAMLY HILL,Detached,999,10.0,CCR,Resale,1.0,13500000.0,-,7694.0,Land,-,1755.0,Mar-2017
95,LANDED HOUSING DEVELOPMENT,FIRST AVENUE,Detached,999,10.0,CCR,Resale,1.0,13500000.0,-,10695.0,Land,-,1262.0,Feb-2021
96,LANDED HOUSING DEVELOPMENT,DALKEITH ROAD,Detached,999,11.0,CCR,Resale,1.0,13500000.0,-,9980.0,Land,-,1353.0,Sep-2019
97,LANDED HOUSING DEVELOPMENT,CRESCENT ROAD,Detached,999,15.0,RCR,Resale,1.0,13459536.0,-,11142.0,Land,-,1208.0,Jul-2018
98,LANDED HOUSING DEVELOPMENT,SUNSET PLACE,Detached,999,21.0,OCR,Resale,1.0,13380000.0,-,7526.0,Land,-,1778.0,Feb-2021
99,LANDED HOUSING DEVELOPMENT,ORIOLE CRESCENT,Detached,999,11.0,CCR,Resale,1.0,13380000.0,-,11341.0,Land,-,1180.0,Sep-2017
100,LANDED HOUSING DEVELOPMENT,OLD HOLLAND ROAD,Detached,999,10.0,CCR,Resale,1.0,13380000.0,-,10237.0,Land,-,1307.0,Feb-2020
101,LANDED HOUSING DEVELOPMENT,OCEAN DRIVE,Detached,83,4.0,CCR,Resale,1.0,13380000.0,-,8675.0,Land,-,1542.0,Jan-2018
102,KASARA,OCEAN DRIVE,Detached,84,4.0,CCR,Resale,1.0,13300000.0,-,9042.0,Land,-,1471.0,Feb-2021
103,LANDED HOUSING DEVELOPMENT,JALAN ANGIN LAUT/UPPER CHANGI ROAD,Semi-detached,999,16.0,OCR,Resale,4.0,13300000.0,-,15212.0,Land,-,874.0,Dec-2019
104,LANDED HOUSING DEVELOPMENT,NAROOMA ROAD,Detached,999,11.0,CCR,Resale,1.0,13288888.0,-,5137.0,Land,-,2587.0,Jun-2019
105,LANDED HOUSING DEVELOPMENT,JALAN SENANDONG,Detached,999,11.0,CCR,Resale,1.0,13285000.0,-,8692.0,Land,-,1528.0,May-2019
106,LANDED HOUSING DEVELOPMENT,MAPLE LANE,Detached,999,10.0,CCR,Resale,1.0,13200000.0,-,7868.0,Land,-,1678.0,Mar-2021
107,LANDED HOUSING DEVELOPMENT,SHELFORD ROAD,Detached,999,11.0,CCR,Resale,1.0,13200000.0,-,5527.0,Land,-,2388.0,Apr-2021
108,LANDED HOUSING DEVELOPMENT,ORIOLE CRESCENT,Detached,999,11.0,CCR,Resale,1.0,13200000.0,-,10003.0,Land,-,1320.0,Apr-2017
109,LANDED HOUSING DEVELOPMENT,COVE DRIVE,Detached,85,4.0,CCR,Resale,1.0,13200000.0,-,7987.0,Land,-,1653.0,May-2021
110,LANDED HOUSING DEVELOPMENT,ORIOLE CRESCENT,Detached,999,11.0,CCR,Resale,1.0,13200000.0,-,10404.0,Land,-,1269.0,Mar-2018
111,LANDED HOUSING DEVELOPMENT,ANDREW ROAD,Detached,999,11.0,CCR,Resale,1.0,13111888.0,-,10858.0,Land,-,1208.0,Jul-2018
112,LANDED HOUSING DEVELOPMENT,CHANCERY LANE,Detached,999,11.0,CCR,Resale,1.0,13100000.0,-,9778.0,Land,-,1340.0,Mar-2019
113,LANDED HOUSING DEVELOPMENT,GREENBANK PARK,Detached,999,21.0,RCR,Resale,1.0,13100000.0,-,18749.0,Land,-,699.0,Sep-2021
114,LANDED HOUSING DEVELOPMENT,ONE TREE HILL,Detached,999,10.0,CCR,Resale,1.0,13000000.0,-,5334.0,Land,-,2437.0,Dec-2019
115,LANDED HOUSING DEVELOPMENT,QUEEN ASTRID PARK,Detached,854,10.0,CCR,Resale,1.0,13000000.0,-,9451.0,Land,-,1376.0,May-2017
116,LANDED HOUSING DEVELOPMENT,CORONATION ROAD WEST,Detached,999,10.0,CCR,Resale,1.0,13000000.0,-,5210.0,Land,-,2495.0,Nov-2018
117,LANDED HOUSING DEVELOPMENT,JALAN KAMPONG CHANTEK,Detached,999,21.0,RCR,Resale,1.0,13000000.0,-,10796.0,Land,-,1204.0,May-2018
118,LANDED HOUSING DEVELOPMENT,NAROOMA ROAD,Detached,999,11.0,CCR,Resale,1.0,13000000.0,-,5180.0,Land,-,2510.0,Oct-2019
119,LANDED HOUSING DEVELOPMENT,JALAN KAMPONG CHANTEK,Detached,999,21.0,RCR,Resale,1.0,13000000.0,-,9502.0,Land,-,1368.0,Aug-2019
120,SWISS CLUB PARK,SWISS CLUB AVENUE,Detached,999,11.0,CCR,Resale,1.0,13000000.0,-,8831.0,Land,-,1472.0,Feb-2020
121,LANDED HOUSING DEVELOPMENT,LINDEN DRIVE,Detached,999,11.0,CCR,Resale,1.0,13000000.0,-,10456.0,Land,-,1243.0,Jul-2019
122,LANDED HOUSING DEVELOPMENT,MELROSE DRIVE,Detached,999,13.0,OCR,Resale,1.0,13000000.0,-,10197.0,Land,-,1275.0,Jun-2021
123,LANDED HOUSING DEVELOPMENT,FIRST AVENUE,Detached,999,10.0,CCR,Resale,1.0,13000000.0,-,10501.0,Land,-,1238.0,Oct-2017
124,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Detached,91,10.0,CCR,Resale,1.0,13000000.0,-,6551.0,Land,-,1984.0,Jul-2021
125,LANDED HOUSING DEVELOPMENT,CORONATION ROAD,Detached,999,10.0,CCR,Resale,1.0,13000000.0,-,10780.0,Land,-,1206.0,Apr-2018
126,SWISS CLUB PARK,SWISS CLUB LANE,Detached,999,11.0,CCR,Resale,1.0,12999000.0,-,12087.0,Land,-,1075.0,Jan-2021
127,DUCHESS GARDEN,CORONATION ROAD,Detached,853,10.0,CCR,Resale,1.0,12950000.0,-,5377.0,Land,-,2409.0,Aug-2021
128,LANDED HOUSING DEVELOPMENT,TREASURE ISLAND,Detached,84,4.0,CCR,Resale,1.0,12900128.0,-,8379.0,Land,-,1540.0,May-2021
129,LANDED HOUSING DEVELOPMENT,VANDA CRESCENT,Detached,999,11.0,CCR,Resale,1.0,12900000.0,-,8971.0,Land,-,1438.0,Jan-2019
130,BAN GUAN PARK,GREENLEAF ROAD,Detached,999,10.0,CCR,Resale,1.0,12900000.0,-,6162.0,Land,-,2093.0,Sep-2021
131,LANDED HOUSING DEVELOPMENT,JALAN SENANDONG,Detached,999,11.0,CCR,Resale,1.0,12900000.0,-,9006.0,Land,-,1432.0,Sep-2019
132,LANDED HOUSING DEVELOPMENT,DALKEITH ROAD,Semi-detached,999,11.0,CCR,Resale,1.0,12850000.0,-,7560.0,Land,-,1700.0,Mar-2021
133,LANDED HOUSING DEVELOPMENT,MEYER PLACE,Detached,999,15.0,RCR,Resale,1.0,12810000.0,-,10155.0,Land,-,1261.0,Feb-2020
134,LANDED HOUSING DEVELOPMENT,HUA GUAN AVENUE,Detached,857,21.0,RCR,Resale,1.0,12800000.0,-,9598.0,Land,-,1334.0,Aug-2017
135,LANDED HOUSING DEVELOPMENT,PRINCESS OF WALES ROAD,Detached,999,10.0,CCR,Resale,1.0,12800000.0,-,5138.0,Land,-,2491.0,Mar-2018
136,LANDED HOUSING DEVELOPMENT,BROADRICK ROAD,Detached,999,15.0,RCR,Resale,1.0,12800000.0,-,11476.0,Land,-,1115.0,Mar-2017
137,LANDED HOUSING DEVELOPMENT,KHEAM HOCK ROAD,Detached,999,11.0,CCR,Resale,1.0,12800000.0,-,10692.0,Land,-,1197.0,Jun-2017
138,DUNEARN ESTATE,TREVOSE CRESCENT,Semi-detached,999,11.0,CCR,Resale,1.0,12800000.0,-,8130.0,Land,-,1574.0,Jul-2018
139,LANDED HOUSING DEVELOPMENT,DUCHESS AVENUE,Detached,853,10.0,CCR,Resale,1.0,12800000.0,-,6068.0,Land,-,2110.0,Sep-2020
140,LANDED HOUSING DEVELOPMENT,WILKINSON ROAD,Detached,999,15.0,RCR,Sub Sale,1.0,12700000.0,-,6134.0,Land,-,2070.0,May-2018
141,PARADISE ISLAND,PARADISE ISLAND,Detached,83,4.0,CCR,Resale,1.0,12700000.0,-,9798.0,Land,-,1296.0,Feb-2021
142,LANDED HOUSING DEVELOPMENT,MERRYN ROAD,Detached,999,11.0,CCR,Resale,1.0,12670000.0,-,10139.0,Land,-,1250.0,Mar-2020
143,LANDED HOUSING DEVELOPMENT,JALAN JELITA,Detached,855,10.0,CCR,Resale,1.0,12600000.0,-,6298.0,Land,-,2001.0,May-2018
144,LANDED HOUSING DEVELOPMENT,CHANCERY HILL ROAD,Detached,999,11.0,CCR,Resale,1.0,12550000.0,-,6527.0,Land,-,1923.0,Aug-2018
145,HILLCREST PARK,GREENMEAD AVENUE,Detached,999,11.0,CCR,Resale,1.0,12550000.0,-,6280.0,Land,-,1998.0,Sep-2021
146,EDEN PARK,REDWOOD AVENUE,Detached,999,10.0,CCR,Resale,1.0,12518000.0,-,5225.0,Land,-,2396.0,Jul-2021
147,LANDED HOUSING DEVELOPMENT,JALAN HAROM SETANGKAI,Detached,999,10.0,CCR,Resale,1.0,12500000.0,-,10801.0,Land,-,1157.0,Mar-2017
148,FRANKEL ESTATE,SIGLAP HILL,Detached,999,15.0,OCR,Resale,1.0,12500000.0,-,7095.0,Land,-,1762.0,Oct-2020
149,BINJAI PARK,BINJAI PARK,Detached,999,21.0,RCR,Resale,1.0,12500000.0,-,12259.0,Land,-,1020.0,Apr-2017
150,LANDED HOUSING DEVELOPMENT,LYNDHURST ROAD,Detached,999,15.0,RCR,Resale,1.0,12500000.0,-,9562.0,Land,-,1307.0,Mar-2021
151,LANDED HOUSING DEVELOPMENT,VANDA CRESCENT,Detached,999,11.0,CCR,Resale,1.0,12500000.0,-,4758.0,Land,-,2627.0,Mar-2021
152,LANDED HOUSING DEVELOPMENT,OCEAN DRIVE,Detached,83,4.0,CCR,Resale,1.0,12500000.0,-,7381.0,Land,-,1694.0,Apr-2017
153,LANDED HOUSING DEVELOPMENT,BROADRICK ROAD,Detached,999,15.0,RCR,Resale,1.0,12500000.0,-,6006.0,Land,-,2081.0,Apr-2018
154,LANDED HOUSING DEVELOPMENT,SUNSET GROVE,Detached,999,21.0,OCR,Resale,1.0,12500000.0,-,7244.0,Land,-,1726.0,Mar-2021
155,LANDED HOUSING DEVELOPMENT,HARLYN ROAD,Detached,999,11.0,CCR,Resale,1.0,12500000.0,-,5321.0,Land,-,2349.0,Sep-2020
156,SELETAR HILLS ESTATE,MIMOSA CRESCENT,Detached,999,28.0,OCR,Resale,1.0,12500000.0,-,10845.0,Land,-,1153.0,Nov-2017
157,LANDED HOUSING DEVELOPMENT,DUKE'S ROAD,Detached,999,10.0,CCR,Resale,1.0,12500000.0,-,5897.0,Land,-,2120.0,Jul-2021
158,LANDED HOUSING DEVELOPMENT,PARK VALE,Detached,852,11.0,CCR,Resale,1.0,12488888.0,-,7820.0,Land,-,1597.0,Feb-2021
159,LANDED HOUSING DEVELOPMENT,HOLLAND ROAD,Detached,863,10.0,CCR,Resale,1.0,12400000.0,-,12107.0,Land,-,1024.0,Jan-2018
160,LANDED HOUSING DEVELOPMENT,LYNDHURST ROAD,Detached,999,15.0,RCR,Resale,1.0,12388888.0,-,7137.0,Land,-,1736.0,Feb-2018
161,LANDED HOUSING DEVELOPMENT,HOLLAND ROAD,Detached,863,10.0,CCR,Resale,1.0,12380000.0,-,6103.0,Land,-,2028.0,Feb-2020
162,ORCHID VILLAGE,VANDA AVENUE,Detached,999,11.0,CCR,Resale,1.0,12380000.0,-,8775.0,Land,-,1411.0,Feb-2019
163,LANDED HOUSING DEVELOPMENT,WILKINSON ROAD,Detached,999,15.0,RCR,Resale,1.0,12375000.0,-,7220.0,Land,-,1714.0,Aug-2020
164,EDEN PARK,MAPLE AVENUE,Detached,999,10.0,CCR,Resale,1.0,12375000.0,-,6188.0,Land,-,2000.0,Sep-2021
165,LANDED HOUSING DEVELOPMENT,MOUNTBATTEN ROAD,Detached,999,15.0,RCR,Resale,1.0,12345679.0,-,10020.0,Land,-,1232.0,Jun-2021
166,LANDED HOUSING DEVELOPMENT,PASIR PANJANG HILL,Detached,999,5.0,RCR,Resale,1.0,12300000.0,-,13743.0,Land,-,895.0,Nov-2020
167,LANDED HOUSING DEVELOPMENT,OCEAN DRIVE,Detached,83,4.0,CCR,Resale,1.0,12300000.0,-,7987.0,Land,-,1540.0,Sep-2017
168,FRANKEL ESTATE,SIGLAP BANK,Detached,999,15.0,OCR,Resale,1.0,12300000.0,-,11186.0,Land,-,1100.0,Aug-2021
