index,project name,street name,type,tenure,postal district,market segment,type of sale,no. of units,price,nett price,areasq,type of area,floor level,unit price psf,date of sale
2422,LANDED HOUSING DEVELOPMENT,LORONG K TELOK KURAU,Semi-detached,999,15.0,OCR,Resale,1.0,4380000.0,-,3493.0,Land,-,1254.0,Aug-2021
2423,SERANGOON GARDEN ESTATE,HUDDINGTON AVENUE,Terrace,932,19.0,OCR,Resale,1.0,4380000.0,-,2979.0,Land,-,1470.0,Nov-2016
2424,LANDED HOUSING DEVELOPMENT,NOVENA TERRACE,Terrace,999,11.0,CCR,Resale,1.0,4380000.0,-,2067.0,Land,-,2119.0,Aug-2017
2425,PRESIDENT GARDENS,LENTOR GREEN,Terrace,999,26.0,OCR,Resale,1.0,4380000.0,-,3707.0,Land,-,1182.0,Oct-2021
2426,OPERA ESTATE,MARIA AVENUE,Terrace,999,15.0,OCR,Resale,1.0,4380000.0,-,5476.0,Land,-,800.0,May-2021
2427,THE GREENWOOD,GREENWOOD AVENUE,Terrace,999,11.0,CCR,Resale,1.0,4380000.0,-,1630.0,Land,-,2688.0,May-2018
2428,MAYFLOWER GARDENS,MAYFLOWER PLACE,Semi-detached,999,20.0,OCR,Resale,1.0,4380000.0,-,3438.0,Land,-,1274.0,Oct-2020
2429,CAYMAN RESIDENCES,EAST COAST AVENUE,Terrace,999,15.0,OCR,New Sale,1.0,4380000.0,-,1647.0,Land,-,2660.0,May-2018
2430,LANDED HOUSING DEVELOPMENT,LORONG CHUAN,Detached,999,19.0,OCR,Resale,1.0,4380000.0,-,4598.0,Land,-,953.0,Oct-2018
2431,LANDED HOUSING DEVELOPMENT,TOH DRIVE,Semi-detached,999,17.0,OCR,Resale,1.0,4380000.0,-,3940.0,Land,-,1112.0,Jun-2021
2432,HOCK SWEE HILL,BEGONIA DRIVE,Semi-detached,999,28.0,OCR,Resale,1.0,4379000.0,-,4373.0,Land,-,1001.0,Apr-2018
2433,LANDED HOUSING DEVELOPMENT,SIGLAP ROAD,Detached,999,15.0,OCR,Resale,1.0,4370000.0,-,5660.0,Land,-,772.0,Dec-2016
2434,SUNRISE VILLA,SUNRISE CLOSE,Terrace,999,28.0,OCR,Resale,1.0,4365000.0,-,2582.0,Land,-,1690.0,Dec-2020
2435,LUXUS HILLS,LUXUS HILL AVENUE,Semi-detached,857,28.0,OCR,Resale,1.0,4360000.0,-,2248.0,Land,-,1940.0,Sep-2021
2436,LANDED HOUSING DEVELOPMENT,FLOWER ROAD,Terrace,856,19.0,OCR,New Sale,1.0,4360000.0,-,2174.0,Land,-,2005.0,May-2021
2437,KISMIS RESIDENCES,ENG KONG ROAD,Terrace,999,21.0,RCR,Resale,1.0,4358888.0,-,1620.0,Land,-,2691.0,May-2021
2438,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,91,10.0,CCR,New Sale,1.0,4352000.0,-,2250.0,Land,-,1935.0,Sep-2017
2439,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,91,10.0,CCR,New Sale,1.0,4351000.0,-,2465.0,Land,-,1765.0,Aug-2017
2440,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,91,10.0,CCR,New Sale,1.0,4351000.0,-,2476.0,Land,-,1757.0,Jul-2017
2441,LANDED HOUSING DEVELOPMENT,LENGKONG ENAM,Semi-detached,999,14.0,OCR,Resale,1.0,4350000.0,-,3362.0,Land,-,1294.0,Apr-2018
2442,MING TECK PARK,SIXTH AVENUE,Terrace,854,10.0,CCR,Resale,1.0,4350000.0,-,3325.0,Land,-,1308.0,Nov-2020
2443,LANDED HOUSING DEVELOPMENT,LENGKONG EMPAT,Semi-detached,999,14.0,OCR,Resale,1.0,4350000.0,-,4255.0,Land,-,1022.0,May-2018
2444,LANDED HOUSING DEVELOPMENT,LORONG M TELOK KURAU,Semi-detached,999,15.0,OCR,Resale,1.0,4350000.0,-,3213.0,Land,-,1354.0,Aug-2017
2445,WATTEN ESTATE,WATTEN DRIVE,Terrace,999,11.0,CCR,Resale,1.0,4350000.0,-,2246.0,Land,-,1936.0,Apr-2017
2446,THE GREENWOOD,GREENWOOD TERRACE,Terrace,999,11.0,CCR,Resale,1.0,4350000.0,-,2282.0,Land,-,1906.0,Nov-2017
2447,LANDED HOUSING DEVELOPMENT,BARKER ROAD,Terrace,999,11.0,CCR,Resale,1.0,4350000.0,-,1707.0,Land,-,2548.0,Jun-2020
2448,CAYMAN RESIDENCES,EAST COAST AVENUE,Terrace,999,15.0,OCR,New Sale,1.0,4350000.0,-,1744.0,Land,-,2495.0,Oct-2019
2449,LANDED HOUSING DEVELOPMENT,JALAN ANGIN LAUT,Semi-detached,999,16.0,OCR,Resale,1.0,4350000.0,-,4535.0,Land,-,959.0,Oct-2020
2450,LANDED HOUSING DEVELOPMENT,FABER WALK,Semi-detached,999,5.0,OCR,Resale,1.0,4350000.0,-,3533.0,Land,-,1231.0,Sep-2019
2451,LANDED HOUSING DEVELOPMENT,SIOK WAN CLOSE,Semi-detached,999,5.0,RCR,Resale,1.0,4350000.0,-,3114.0,Land,-,1397.0,Aug-2021
